research_field,response
Catholic Studies,"[
{
""topic_words"": [""vatican"", ""council"", ""aggiornamento"", ""modernization"", ""liturgy""],
""topic_label"": ""Second Vatican Council""
},
{
""topic_words"": [""sacraments"", ""eucharist"", ""baptism"", ""penance"", ""holy""],
""topic_label"": ""Catholic Sacramental Theology""
},
{
""topic_words"": [""mary"", ""marian"", ""veneration"", ""assumption"", ""dogma""],
""topic_label"": ""Marian Devotion and Doctrine""
},
{
""topic_words"": [""dignity"", ""justice"", ""common"", ""subsidiarity"", ""wealth""],
""topic_label"": ""Catholic Social Teaching""
},
{
""topic_words"": [""theology"", ""doctrine"", ""dogmas"", ""nature"", ""grace""],
""topic_label"": ""Roman Catholic Theology""
},
{
""topic_words"": [""art"", ""renaissance"", ""gothic"", ""architecture"", ""iconography""],
""topic_label"": ""History of Catholic Art""
},
{
""topic_words"": [""pope"", ""papacy"", ""infallibility"", ""authority"", ""magisterium""],
""topic_label"": ""Papal Authority and Magisterium""
}
]"
Accessibility,"[
{
""topic_words"": [""screen"", ""reader"", ""assistive"", ""technology"", ""voice""],
""topic_label"": ""Assistive Technology Use""
},
{
""topic_words"": [""web"", ""content"", ""guidelines"", ""compliance"", ""standards""],
""topic_label"": ""Web Accessibility Standards""
},
{
""topic_words"": [""cognitive"", ""disability"", ""neurodiversity"", ""support"", ""usability""],
""topic_label"": ""Cognitive Accessibility Research""
},
{
""topic_words"": [""captioning"", ""transcripts"", ""deaf"", ""hearing"", ""audio""],
""topic_label"": ""Media Accessibility Solutions""
},
{
""topic_words"": [""design"", ""inclusive"", ""universal"", ""environments"", ""built""],
""topic_label"": ""Universal Design Principles""
},
{
""topic_words"": [""mobile"", ""apps"", ""interface"", ""touch"", ""gestures""],
""topic_label"": ""Mobile Accessibility Design""
},
{
""topic_words"": [""policy"", ""legislation"", ""disability"", ""rights"", ""equity""],
""topic_label"": ""Accessibility Policy and Law""
}
]"
"Fiber, Textile, and Weaving Arts","[
{
""topic_words"": [""loom"", ""warp"", ""weft"", ""harness"", ""shuttle""],
""topic_label"": ""Woven Textile Structures""
},
{
""topic_words"": [""natural"", ""dyeing"", ""mordant"", ""pigment"", ""colorfastness""],
""topic_label"": ""Natural Fiber Dyeing""
},
{
""topic_words"": [""wool"", ""cotton"", ""silk"", ""linen"", ""synthetic""],
""topic_label"": ""Fiber Material Science""
},
{
""topic_words"": [""knitting"", ""crochet"", ""interlooping"", ""gauge"", ""tension""],
""topic_label"": ""Knitted Fabric Production""
},
{
""topic_words"": [""smart"", ""conductivity"", ""sensor"", ""wearable"", ""electronic""],
""topic_label"": ""Smart and E-Textiles""
},
{
""topic_words"": [""felting"", ""nonwoven"", ""bonding"", ""needling"", ""web""],
""topic_label"": ""Nonwoven Fabric Technology""
},
{
""topic_words"": [""pattern"", ""repeat"", ""jacquard"", ""twill"", ""satin""],
""topic_label"": ""Textile Pattern Design""
}
]"
"Navigation, Guidance, Control, and Dynamics","[
{
""topic_words"": [""kalman"", ""filter"", ""estimation"", ""probability"", ""random""],
""topic_label"": ""Kalman Filtering and Estimation""
},
{
""topic_words"": [""kinematics"", ""dynamics"", ""motion"", ""six-degree"", ""control""],
""topic_label"": ""Six-DOF Kinematics and Dynamics""
},
{
""topic_words"": [""inertial"", ""measurement"", ""sensor"", ""unit"", ""system""],
""topic_label"": ""Inertial Navigation Systems""
},
{
""topic_words"": [""trajectory"", ""planning"", ""optimal"", ""path"", ""algorithm""],
""topic_label"": ""Optimal Trajectory Planning""
},
{
""topic_words"": [""missile"", ""homing"", ""guidance"", ""proportional"", ""navigation""],
""topic_label"": ""Missile Guidance Techniques""
},
{
""topic_words"": [""attitude"", ""determination"", ""control"", ""stabilization"", ""satellite""],
""topic_label"": ""Attitude Determination and Control""
},
{
""topic_words"": [""feedback"", ""linear"", ""nonlinear"", ""adaptive"", ""robust""],
""topic_label"": ""Advanced Control Systems""
}
]"
Music Theory,"[
{
""topic_words"": [""harmony"", ""chord"", ""progression"", ""voice"", ""leading""],
""topic_label"": ""Harmonic Analysis""
},
{
""topic_words"": [""rhythm"", ""meter"", ""tempo"", ""pulse"", ""syncopation""],
""topic_label"": ""Rhythmic Structure and Meter""
},
{
""topic_words"": [""form"", ""sonata"", ""rondo"", ""binary"", ""ternary""],
""topic_label"": ""Musical Form and Structure""
},
{
""topic_words"": [""pitch"", ""interval"", ""scale"", ""tonality"", ""key""],
""topic_label"": ""Pitch Systems and Tonality""
},
{
""topic_words"": [""set"", ""theory"", ""atonal"", ""pitch-class"", ""dodecaphony""],
""topic_label"": ""Atonal Set Theory""
},
{
""topic_words"": [""corpus"", ""analysis"", ""statistical"", ""data"", ""computation""],
""topic_label"": ""Computational Music Analysis""
},
{
""topic_words"": [""perception"", ""cognition"", ""expectation"", ""psychology"", ""listening""],
""topic_label"": ""Music Perception and Cognition""
}
]"
Musicology,"[
{
""topic_words"": [""harmony"", ""rhythm"", ""melody"", ""form"", ""analysis""],
""topic_label"": ""Music Theory and Analysis""
},
{
""topic_words"": [""composer"", ""era"", ""style"", ""influence"", ""performance""],
""topic_label"": ""History of Musical Traditions""
},
{
""topic_words"": [""culture"", ""ethnicity"", ""tradition"", ""fieldwork"", ""world""],
""topic_label"": ""Ethnomusicology and Cultural Context""
},
{
""topic_words"": [""aesthetics"", ""perception"", ""emotion"", ""meaning"", ""listeners""],
""topic_label"": ""Music Perception and Aesthetics""
},
{
""topic_words"": [""source"", ""manuscript"", ""notation"", ""edition"", ""textual""],
""topic_label"": ""Source Studies and Notation""
},
{
""topic_words"": [""gender"", ""sexuality"", ""identity"", ""feminism"", ""representation""],
""topic_label"": ""Gender and Sexuality in Music""
},
{
""topic_words"": [""digital"", ""algorithm"", ""computation"", ""data"", ""modeling""],
""topic_label"": ""Computational Musicology Methods""
}
]"
American Art and Architecture,"[
{
""topic_words"": [""federal"", ""neoclassical"", ""republic"", ""early"", ""revival""],
""topic_label"": ""Early American Architectural Styles""
},
{
""topic_words"": [""abstract"", ""expressionism"", ""pop"", ""conceptual"", ""modernism""],
""topic_label"": ""Modern American Art Movements""
},
{
""topic_words"": [""skyscraper"", ""chicago"", ""steel"", ""commercial"", ""urban""],
""topic_label"": ""American Skyscraper Architecture""
},
{
""topic_words"": [""colonial"", ""georgian"", ""saltbox"", ""dutch"", ""vernacular""],
""topic_label"": ""Colonial Period Architecture""
},
{
""topic_words"": [""frank"", ""wright"", ""prairie"", ""organic"", ""modern""],
""topic_label"": ""Frank Lloyd Wright's Architecture""
},
{
""topic_words"": [""painting"", ""landscape"", ""hudson"", ""school"", ""romantic""],
""topic_label"": ""American Romantic Landscape Painting""
},
{
""topic_words"": [""victorian"", ""gothic"", ""italianate"", ""second"", ""queen""],
""topic_label"": ""Victorian Era Architectural Styles""
}
]"
Podiatry,"[ { ""topic_words"": [""diabetes"", ""foot"", ""ulcer"", ""neuropathy"", ""amputation""], ""topic_label"": ""Diabetic Foot Care"" }, { ""topic_words"": [""biomechanics"", ""gait"", ""orthotics"", ""pressure"", ""footwear""], ""topic_label"": ""Foot Biomechanics & Orthotics"" }, { ""topic_words"": [""surgery"", ""hallux"", ""bunion"", ""forefoot"", ""procedure""], ""topic_label"": ""Podiatric Foot Surgery"" }, { ""topic_words"": [""fungal"", ""skin"", ""nail"", ""infection"", ""dermatology""], ""topic_label"": ""Podiatric Dermatology"" }, { ""topic_words"": [""pain"", ""heel"", ""plantar"", ""fasciitis"", ""musculoskeletal""], ""topic_label"": ""Musculoskeletal Foot Pathology"" }, { ""topic_words"": [""sports"", ""injury"", ""athletes"", ""rehabilitation"", ""running""], ""topic_label"": ""Sports Podiatry & Injuries"" }, { ""topic_words"": [""wounds"", ""healing"", ""dressing"", ""assessment"", ""management""], ""topic_label"": ""Wound Care Management"" } ]"
Other American Studies,"[
{
""topic_words"": [""race"", ""ethnicity"", ""identity"", ""multiculturalism"", ""migration""],
""topic_label"": ""Race, Ethnicity, and Identity""
},
{
""topic_words"": [""visual"", ""material"", ""culture"", ""media"", ""popular""],
""topic_label"": ""Popular and Visual Culture""
},
{
""topic_words"": [""border"", ""diaspora"", ""transnational"", ""globalization"", ""geography""],
""topic_label"": ""Transnational American Studies""
},
{
""topic_words"": [""gender"", ""sexuality"", ""queer"", ""feminist"", ""performance""],
""topic_label"": ""Gender and Sexuality Studies""
},
{
""topic_words"": [""neoliberalism"", ""capitalism"", ""labor"", ""economy"", ""class""],
""topic_label"": ""Economics and Class Studies""
},
{
""topic_words"": [""historical"", ""memory"", ""public"", ""archive"", ""narrative""],
""topic_label"": ""Public Memory and History""
},
{
""topic_words"": [""law"", ""citizenship"", ""politics"", ""governance"", ""rights""],
""topic_label"": ""Law, Politics, and Rights""
}
]"
"Other Feminist, Gender, and Sexuality","[
{
""topic_words"": [
""intersectional"",
""identity"",
""oppression"",
""privilege"",
""marginalization""
],
""topic_label"": ""Intersectional Feminist Theory""
},
{
""topic_words"": [
""queer"",
""theory"",
""normativity"",
""performativity"",
""desire""
],
""topic_label"": ""Queer Theory and Normativity""
},
{
""topic_words"": [
""transgender"",
""nonbinary"",
""genderfluid"",
""transition"",
""affirmation""
],
""topic_label"": ""Transgender and Nonbinary Studies""
},
{
""topic_words"": [
""ecofeminism"",
""nature"",
""environmental"",
""domination"",
""reproduction""
],
""topic_label"": ""Ecofeminism and Environment""
},
{
""topic_words"": [
""masculinities"",
""hegemonic"",
""patriarchy"",
""men"",
""power""
],
""topic_label"": ""Critical Masculinity Studies""
},
{
""topic_words"": [
""cyborg"",
""technology"",
""posthumanism"",
""digital"",
""body""
],
""topic_label"": ""Feminist Posthumanism and Tech""
},
{
""topic_words"": [
""care"",
""ethics"",
""labor"",
""affect"",
""social""
],
""topic_label"": ""Feminist Ethics of Care""
}
]"
Poultry or Avian Science,"[
{
""topic_words"": [""broiler"", ""layer"", ""production"", ""management"", ""housing""],
""topic_label"": ""Poultry Production Systems""
},
{
""topic_words"": [""egg"", ""quality"", ""composition"", ""shell"", ""nutrients""],
""topic_label"": ""Egg Quality and Composition""
},
{
""topic_words"": [""nutrition"", ""feed"", ""dietary"", ""amino"", ""digestibility""],
""topic_label"": ""Avian Nutrition and Feeding""
},
{
""topic_words"": [""disease"", ""immunity"", ""vaccine"", ""pathogen"", ""health""],
""topic_label"": ""Avian Health and Disease""
},
{
""topic_words"": [""genetics"", ""breeding"", ""heritability"", ""selection"", ""genome""],
""topic_label"": ""Avian Genetics and Breeding""
},
{
""topic_words"": [""intestinal"", ""microbiome"", ""gut"", ""probiotics"", ""ceca""],
""topic_label"": ""Gut Health and Microbiome""
},
{
""topic_words"": [""behavior"", ""welfare"", ""stress"", ""enrichment"", ""pecking""],
""topic_label"": ""Avian Behavior and Welfare""
}
]"
Algebraic Geometry,"[
{ ""topic_words"": [""variety"", ""hypersurface"", ""affine"", ""projective"", ""dimension""], ""topic_label"": ""Classical Algebraic Varieties"" },
{ ""topic_words"": [""scheme"", ""sheaf"", ""cohomology"", ""morphism"", ""local""], ""topic_label"": ""Modern Scheme Theory"" },
{ ""topic_words"": [""curve"", ""surface"", ""moduli"", ""birational"", ""minimal""], ""topic_label"": ""Birational Classification of Varieties"" },
{ ""topic_words"": [""hodge"", ""cycle"", ""theory"", ""complex"", ""manifold""], ""topic_label"": ""Hodge Theory and Cycles"" },
{ ""topic_words"": [""groebner"", ""basis"", ""ideal"", ""polynomial"", ""decomposition""], ""topic_label"": ""Computational Algebraic Geometry"" },
{ ""topic_words"": [""divisor"", ""linear"", ""system"", ""invertible"", ""bundle""], ""topic_label"": ""Linear Systems and Divisors"" },
{ ""topic_words"": [""arithmetic"", ""function"", ""field"", ""number"", ""elliptic""], ""topic_label"": ""Arithmetic Algebraic Geometry"" }
]"
Acting,"[
{
""topic_words"": [""method"", ""stanislavski"", ""emotion"", ""sensory"", ""realism""],
""topic_label"": ""Method Acting Techniques""
},
{
""topic_words"": [""vocal"", ""projection"", ""diction"", ""breath"", ""articulation""],
""topic_label"": ""Vocal Performance Skills""
},
{
""topic_words"": [""improvisation"", ""spontaneity"", ""scene"", ""partner"", ""yes-and""],
""topic_label"": ""Improvisational Theatre""
},
{
""topic_words"": [""movement"", ""body"", ""physicality"", ""gesture"", ""stage""],
""topic_label"": ""Physical Theatre and Movement""
},
{
""topic_words"": [""character"", ""analysis"", ""motivation"", ""biography"", ""objective""],
""topic_label"": ""Character Development""
},
{
""topic_words"": [""audition"", ""monologue"", ""sides"", ""cold-reading"", ""casting""],
""topic_label"": ""Auditioning Processes""
},
{
""topic_words"": [""shakespeare"", ""verse"", ""rhythm"", ""text"", ""classical""],
""topic_label"": ""Classical Text Performance""
}
]"
Tissues,"[
{
""topic_words"": [""epithelial"", ""connective"", ""muscle"", ""nervous"", ""histology""],
""topic_label"": ""Basic Tissue Types""
},
{
""topic_words"": [""scaffold"", ""biomaterial"", ""regeneration"", ""stem"", ""bioreactor""],
""topic_label"": ""Tissue Engineering and Regeneration""
},
{
""topic_words"": [""cell"", ""matrix"", ""extracellular"", ""fibrosis"", ""collagen""],
""topic_label"": ""Extracellular Matrix Studies""
},
{
""topic_words"": [""pathology"", ""biopsy"", ""staining"", ""microscopy"", ""diagnosis""],
""topic_label"": ""Tissue Pathology and Imaging""
},
{
""topic_words"": [""differentiation"", ""organogenesis"", ""development"", ""embryology"", ""morphogenesis""],
""topic_label"": ""Tissue Development and Formation""
},
{
""topic_words"": [""ischemia"", ""inflammation"", ""repair"", ""wound"", ""healing""],
""topic_label"": ""Tissue Repair and Injury""
},
{
""topic_words"": [""adipose"", ""cartilage"", ""bone"", ""blood"", ""lymph""],
""topic_label"": ""Specialized Connective Tissues""
}
]"
Ceramic Arts,"[
{
""topic_words"": [""glaze"", ""firing"", ""chemistry"", ""kiln"", ""composition""],
""topic_label"": ""Glaze Chemistry & Firing""
},
{
""topic_words"": [""clay"", ""handbuilding"", ""throwing"", ""slab"", ""coil""],
""topic_label"": ""Ceramic Forming Techniques""
},
{
""topic_words"": [""vessel"", ""form"", ""function"", ""pottery"", ""sculpture""],
""topic_label"": ""Ceramic Form and Function""
},
{
""topic_words"": [""historical"", ""archaeology"", ""ancient"", ""culture"", ""tradition""],
""topic_label"": ""Historical Ceramic Traditions""
},
{
""topic_words"": [""decoration"", ""surface"", ""sgraffito"", ""underglaze"", ""maiolica""],
""topic_label"": ""Surface Decoration Techniques""
},
{
""topic_words"": [""contemporary"", ""modern"", ""installation"", ""design"", ""theory""],
""topic_label"": ""Contemporary Ceramic Art""
},
{
""topic_words"": [""porcelain"", ""stoneware"", ""earthenware"", ""materials"", ""terra""],
""topic_label"": ""Ceramic Materials Science""
}
]"
Fiction,"[
{
""topic_words"": [""narrative"", ""plot"", ""structure"", ""storytelling"", ""agency""],
""topic_label"": ""Narrative Structure and Plot""
},
{
""topic_words"": [""character"", ""development"", ""psychology"", ""motivation"", ""protagonist""],
""topic_label"": ""Character and Development""
},
{
""topic_words"": [""genre"", ""fantasy"", ""science"", ""speculative"", ""dystopian""],
""topic_label"": ""Speculative and Genre Fiction""
},
{
""topic_words"": [""setting"", ""worldbuilding"", ""place"", ""environment"", ""geography""],
""topic_label"": ""Setting and Worldbuilding""
},
{
""topic_words"": [""style"", ""language"", ""voice"", ""prose"", ""rhythm""],
""topic_label"": ""Fictional Style and Language""
},
{
""topic_words"": [""reader"", ""reception"", ""interpretation"", ""audience"", ""engagement""],
""topic_label"": ""Reader Response Theory""
},
{
""topic_words"": [""historical"", ""modernism"", ""postcolonial"", ""contemporary"", ""period""],
""topic_label"": ""Historical Contexts of Fiction""
}
]"
Visual Studies,"[
{
""topic_words"": [""gaze"", ""subjectivity"", ""spectatorship"", ""power"", ""theory""],
""topic_label"": ""Gaze and Spectatorship Theory""
},
{
""topic_words"": [""image"", ""culture"", ""digital"", ""media"", ""circulation""],
""topic_label"": ""Digital Image Culture""
},
{
""topic_words"": [""photography"", ""index"", ""representation"", ""archive"", ""history""],
""topic_label"": ""History and Theory of Photography""
},
{
""topic_words"": [""visual"", ""perception"", ""cognition"", ""semiotics"", ""meaning""],
""topic_label"": ""Visual Perception and Semiotics""
},
{
""topic_words"": [""body"", ""performance"", ""gender"", ""queer"", ""identity""],
""topic_label"": ""Visual Culture and Identity""
},
{
""topic_words"": [""materiality"", ""object"", ""display"", ""museum"", ""collection""],
""topic_label"": ""Materiality of Visual Objects""
},
{
""topic_words"": [""surveillance"", ""data"", ""mapping"", ""algorithm"", ""control""],
""topic_label"": ""Visual Technologies of Control""
}
]"
